dealer_id,month,model_wise_cr,sales_advisor_cr,market_share,ssi,csat,monthly_sales,booking_pipeline,accessories_per_car,monthly_accessories_sales,cptv,tat_complaint_resolution,composite_score
D001,2023-01-01,48.0,37.4,8.2,87.0,4.5,179,113,4783.0,525219.0,1.2,6.0,58.2
D001,2023-02-01,52.6,41.1,9.1,90.0,4.6,197,141,5250.0,576480.0,1.3,6.4,63.2
D001,2023-03-01,43.0,33.5,7.4,84.0,4.3,161,83,4290.0,471090.0,1.1,5.7,52.7
D001,2023-04-01,48.0,37.4,8.3,92.0,4.7,179,134,5437.0,525373.0,1.4,6.5,60.8
D001,2023-05-01,42.6,33.2,7.3,87.0,4.5,159,99,4736.0,466749.0,1.2,6.0,54.3
D001,2023-06-01,44.4,34.6,7.6,85.0,4.4,166,91,4429.0,486321.0,1.1,5.8,54.5
D001,2023-07-01,54.4,42.4,9.4,92.0,4.7,203,152,5428.0,596048.0,1.4,6.5,65.4
D001,2023-08-01,43.2,33.7,7.4,84.0,4.3,161,84,4312.0,473503.0,1.1,5.7,52.8
D001,2023-09-01,51.6,40.3,8.9,90.0,4.6,193,135,5151.0,565611.0,1.3,6.3,62.3
D001,2023-10-01,59.8,46.6,10.3,86.0,4.4,223,131,4574.0,654761.0,1.2,5.9,65.8
D001,2023-11-01,56.6,44.2,9.7,84.0,4.4,212,115,4398.0,620151.0,1.1,5.7,62.9
D001,2023-12-01,46.0,35.9,7.9,86.0,4.4,172,101,4590.0,503945.0,1.2,5.9,56.0
D001,2024-01-01,52.2,40.7,9.0,90.0,4.6,195,139,5211.0,572125.0,1.3,6.4,62.8
D001,2024-02-01,53.1,41.4,9.1,91.0,4.6,199,144,5300.0,581987.0,1.3,6.4,63.8
D001,2024-03-01,50.1,39.1,8.6,89.0,4.5,187,126,5001.0,549082.0,1.3,6.2,60.4
D001,2024-04-01,40.4,31.5,7.0,85.0,4.4,151,85,4475.0,442588.0,1.1,5.8,51.7
D001,2024-05-01,38.0,29.6,6.5,85.0,4.4,142,78,4427.0,416202.0,1.1,5.8,49.9
D001,2024-06-01,45.7,35.6,7.9,85.0,4.4,171,99,4555.0,500131.0,1.1,5.9,55.6
D001,2024-07-01,47.0,36.7,8.1,86.0,4.5,176,107,4689.0,514814.0,1.2,6.0,57.2
D001,2024-08-01,47.5,37.0,8.2,87.0,4.5,177,110,4735.0,519853.0,1.2,6.0,57.8
D001,2024-09-01,47.1,36.7,8.1,86.0,4.5,176,107,4694.0,515411.0,1.2,6.0,57.2
D001,2024-10-01,58.7,45.8,10.1,88.0,4.5,219,143,4885.0,642503.0,1.2,6.1,66.4
D001,2024-11-01,60.9,47.5,10.5,86.0,4.4,227,135,4616.0,666543.0,1.2,5.9,66.6
D001,2024-12-01,54.0,42.2,9.3,91.0,4.6,202,150,5391.0,591967.0,1.4,6.5,64.5
D002,2023-01-01,47.4,37.0,26.3,91.0,3.0,32,19,8726.0,183254.0,3.0,9.6,47.9
D002,2023-02-01,53.4,41.6,29.7,95.0,3.1,36,25,9834.0,206524.0,3.4,10.3,53.1
D002,2023-03-01,51.2,39.9,28.5,94.0,3.0,35,23,9423.0,197880.0,3.3,10.0,51.1
D002,2023-04-01,47.6,37.2,26.5,97.0,3.1,32,24,10169.0,184252.0,3.5,10.5,49.9
D002,2023-05-01,48.5,37.8,27.0,96.0,3.1,33,24,10048.0,187655.0,3.5,10.4,50.2
D002,2023-06-01,54.1,42.2,30.1,96.0,3.1,37,26,9958.0,209119.0,3.5,10.3,53.8
D002,2023-07-01,52.1,40.6,29.0,94.0,3.0,36,24,9593.0,201453.0,3.3,10.1,51.7
D002,2023-08-01,50.5,39.4,28.1,93.0,3.0,34,22,9302.0,195352.0,3.2,9.9,50.4
D002,2023-09-01,56.4,44.0,31.4,97.0,3.1,39,29,10387.0,218125.0,3.6,10.6,55.6
D002,2023-10-01,62.8,49.0,35.0,95.0,3.1,43,30,9818.0,243087.0,3.4,10.3,59.2
D002,2023-11-01,57.8,45.0,32.1,92.0,3.0,39,24,8953.0,223411.0,3.1,9.7,54.8
D002,2023-12-01,48.2,37.6,26.8,91.0,3.0,33,20,8887.0,186630.0,3.1,9.7,48.4
D002,2024-01-01,56.0,43.7,31.1,97.0,3.1,38,28,10314.0,216598.0,3.6,10.6,55.3
D002,2024-02-01,56.2,43.9,31.3,97.0,3.1,38,29,10360.0,217552.0,3.6,10.6,55.5
D002,2024-03-01,46.7,36.4,26.0,90.0,3.0,32,18,8606.0,180730.0,3.0,9.5,47.2
D002,2024-04-01,45.4,35.4,25.2,95.0,3.1,31,21,9807.0,175503.0,3.4,10.2,48.0
D002,2024-05-01,40.6,31.7,22.6,89.0,2.9,28,15,8396.0,157232.0,2.9,9.3,42.7
D002,2024-06-01,52.8,41.2,29.4,95.0,3.1,36,25,9726.0,204238.0,3.4,10.2,52.8
D002,2024-07-01,51.1,39.9,28.4,94.0,3.0,35,23,9416.0,197729.0,3.3,10.0,51.0
D002,2024-08-01,56.4,44.0,31.4,97.0,3.1,39,29,10389.0,218170.0,3.6,10.6,55.6
D002,2024-09-01,47.3,36.9,26.3,91.0,3.0,32,19,8705.0,182814.0,3.0,9.5,47.9
D002,2024-10-01,62.9,49.0,35.0,93.0,3.0,43,28,9410.0,243216.0,3.3,10.0,58.3
D002,2024-11-01,66.9,52.2,37.2,94.0,3.0,46,30,9424.0,258926.0,3.3,10.0,61.2
D002,2024-12-01,51.9,40.5,28.9,94.0,3.0,35,24,9567.0,200912.0,3.3,10.1,51.6
D003,2023-01-01,25.2,19.7,14.0,89.0,4.1,114,62,5082.0,387256.0,1.3,9.0,43.4
D003,2023-02-01,30.2,23.6,16.8,96.0,4.3,137,99,6088.0,463916.0,1.5,10.0,50.8
D003,2023-03-01,28.1,21.9,15.6,93.0,4.2,127,84,5662.0,431433.0,1.4,9.6,47.6
D003,2023-04-01,26.6,20.7,14.7,94.0,4.2,120,80,5728.0,407750.0,1.4,9.6,46.6
D003,2023-05-01,22.9,17.9,12.7,90.0,4.1,104,57,5087.0,351215.0,1.3,9.0,41.7
D003,2023-06-01,25.7,20.0,14.2,90.0,4.1,116,66,5171.0,394050.0,1.3,9.1,44.1
D003,2023-07-01,31.1,24.2,17.2,97.0,4.3,141,105,6257.0,476751.0,1.6,10.2,51.8
D003,2023-08-01,26.1,20.4,14.5,91.0,4.1,118,69,5254.0,400332.0,1.3,9.1,44.9
D003,2023-09-01,31.1,24.3,17.3,97.0,4.3,141,106,6264.0,477309.0,1.6,10.2,51.9
D003,2023-10-01,32.0,25.0,17.8,90.0,4.1,145,81,5129.0,491001.0,1.3,9.0,49.7
D003,2023-11-01,30.4,23.7,16.8,90.0,4.1,138,79,5227.0,465974.0,1.3,9.1,48.3
D003,2023-12-01,30.8,24.0,17.1,97.0,4.3,139,103,6194.0,471984.0,1.6,10.1,51.5
D003,2024-01-01,27.3,21.3,15.2,92.0,4.1,124,78,5504.0,419414.0,1.4,9.4,46.2
D003,2024-02-01,27.2,21.2,15.1,92.0,4.1,123,77,5479.0,417491.0,1.4,9.4,46.1
D003,2024-03-01,26.7,20.8,14.8,91.0,4.1,121,73,5368.0,409040.0,1.3,9.3,45.4
D003,2024-04-01,24.1,18.8,13.3,93.0,4.2,109,70,5604.0,369220.0,1.4,9.5,44.1
D003,2024-05-01,26.0,20.3,14.4,96.0,4.3,118,85,6072.0,399327.0,1.5,10.0,47.1
D003,2024-06-01,27.0,21.1,15.0,92.0,4.1,123,76,5445.0,414918.0,1.4,9.3,46.0
D003,2024-07-01,27.1,21.1,15.0,92.0,4.1,123,76,5451.0,415370.0,1.4,9.3,46.0
D003,2024-08-01,27.7,21.6,15.4,93.0,4.2,126,81,5585.0,425566.0,1.4,9.5,47.3
